分类,bug/feature,优先级,问题,禅道对应问题／答复,来源
浏览器,bug,3,在某些情况下，空格键翻页会超过一页应有的内容，导致翻页后必须向上滚动才能找到错过的内容……,禅道ID：1139,刘锋
浏览器,bug,3,"fennec处理网页对话框似乎有问题 
http://hd.mi.com/x/02271a/index.html%E2%80%8B 
点击领券……",,刘锋
浏览器,bug,1,fennec播放flash时，没有文字显示。,禅道ID：1198,阵阵小语
浏览器,bug,3,我公司的web邮箱，Microsoft exchange server提供的页面，使用左中右三页分栏方式，其中……,目前Fennec确实……,刘锋
浏览器,bug,3,自带浏览器无法打开，重启电脑后可以正常打开（3月23号发布的版本）,重启系统后解决……,物业前台
浏览器,bug,1,清华wifi连接后，用浏览器访问任意页面均会重定向到登录页面，登录后正常访问，但是openthos……,禅道ID：1204,刘锋
浏览器,bug,3,在浏览器中上传文件时会提示“摄像机、相机...“，选择相机会进入拍照界面，此时无法取消……,禅道ID：1140,刘锋
浏览器,bug,3,"标题栏突然小时，最小化、最大化、关闭看不见了。
图为Fennec浏览器，具体触发原因不明。",使用过程中偶遇过……,苟腾嶕
浏览器,feature,1,fennec应集成在system中，不可卸载,,刘锋
浏览器,feature,1,请把这个addon作为默认项编译进fennec,,刘锋
浏览器,feature,1, 默认集成UA切换功能，或者phony扩展；默认集成ublock origin并订阅easylist china,,刘锋
浏览器,feature,1,internet 浏览器预配置如下： a.安装扩展ublock origin和phony b. ublock默认启用 easylist……,,刘锋
浏览器,feature,4,phony后续会被我们自己的扩展（提供浏览器工具栏上的切换按钮）替代,,刘锋
浏览器,feature,1,设置-易用性-文本大小 默认改为“大”,,刘锋
浏览器,feature,1,设置最后一项“openthos”应该是Internet 浏览器(Internet Browser),,刘锋
浏览器,feature,1,页面ctrl+滚轮放缩的缩放步进问题（10%步进？）,,刘锋
浏览器,feature,1,搜索引擎默认为BING,,刘锋
浏览器,feature,4,网页上的图片不能另存为,,社区
浏览器,feature,,user版本隐藏aosp的浏览器,,刘锋
浏览器,feature,4,原生浏览器对触摸点击不支持，使用的是联想YOGA3 14寸 1080P屏幕,实验室的华硕s200E触控没问题,为人民服务工作室
浏览器,feature,,下载过程中无法暂停,,江沁
浏览器,建议,1,如果我们把user-agent切换的功能放到fennec里，似乎原生菜单上的“request desktop ……,,刘锋
浏览器,建议,3,internet浏览器ctrl+t创建新分页之后，用户输入焦点应该在地址栏中,,刘锋
浏览器,建议,3,希望系统提供更多字体支持（内置开源字体，比如文鼎的宋体、楷体、仿宋等，这些字体非商业应用……,,刘锋
蓝牙,bug,1,华硕和同方双方蓝牙可以匹配，但是互传文件失败。,禅道ID：1205,苟腾嶕
蓝牙,bug,1,手机通过蓝牙发送文件给同方：如下图，openthos已经接收到信息，但是没有“确定”之类的……,禅道ID：1101,苟腾嶕
应用,bug,1,商店显示有可更新项，安装均失败,禅道ID：1166,刘锋
应用,bug,4,相机会出现横屏,,社区
应用,bug,2,OTA更新到306版本，央视影音应该以桌面模式启动，否则窗口比例不对,禅道ID：1206,刘锋
应用,bug,4,微信总卡死或无缘无故退出,,社区
应用,bug,2,大楼用户那里Excel闪退现象还是存在，并且即使手动保存一下闪退后鼠标所在单元格的数据……,,物业
应用,bug,2,高德地图白色背景变为透明，之前firefox进入全屏模式隐藏工具栏时也有类似情况,禅道ID：1211,刘锋
应用,bug,3,"学堂在线点击课程时，显示“已停止运行”
学堂在线的官网最新版",禅道ID：79,刘锋
应用,bug,2,"wps不能彩打，打印出来的全是代码
具体过程如下……",,阵阵小语
应用,bug,2,Excel从26-27日的数据无缘无故排序错乱、数据丢失；,,张捷
应用,bug,2,Excel闪退频率高了；,,张捷
应用,bug,,不支持百度网盘,百度网盘有时支持有时不支持，问题较多，对应禅道的ID有：159、181、364、366、459、570、572、1025,梅花易数
应用,feature,3,支持的游戏太少：比如三国杀、植物大战僵尸,,社区
应用,feature,4,后续应用多开是我们的一个功能需求（需要处理潜在的数据冲突，目前很多rom似乎是通……,,刘锋
应用,feature,4,比如qqhd ，既然本系统走的台式机路线，那么不能很好的在支持hd是一种遗憾----后期应完善……,3.15后做,梅花易数
应用,feature,1,去掉开始菜单中的“下载”，这个功能是没用的,,刘锋
应用,建议,4,openthos内置反馈软件/加入用户体验计划/win10,,梅花易数/阵阵小语
应用,建议,4,与上一条关联 ，陈刚认为bug反馈相对用户体验计划来说用户的抵触更小,,陈刚
应用,建议,4,OPENTHOS应用程序运行模式是否可以默认手机模式或电脑模式，不用每次手动选择，且电脑……,,梅花易数
文件管理,bug,1,磁盘空间问题，给/data分区留出较多空间，但是用户可用的数据空间并不多（2G）,bugid: 982 ……,刘锋
文件管理,bug,2,蓝框所圈，文件名称，第二行字体只能显示上半部分，下半部分缺一块。（我好像在设置里调……,禅道ID：1095,苟腾嶕
文件管理,feature,1,复制文件应保留属性保留文件原来的创建日期时间等属性,,刘锋
