分类,问题,禅道对应问题／答复,来源
浏览器,在某些情况下，空格键翻页会超过一页应有的内容，导致翻页后必须向上滚动才能找到错过的内容……,禅道ID：1139,刘锋
浏览器,fennec对于多frame网页仍然无法正确滚动,,刘锋
浏览器,在fennec网页中输入文字时，如果使用鼠标进行文字定位，会进入选择文本的模式……,,刘锋
浏览器,"fennec处理网页对话框似乎有问题 
http://hd.mi.com/x/02271a/index.html%E2%80%8B 
点击领券……",,刘锋
浏览器,fennec播放flash时，没有文字显示。,禅道ID：1198,阵阵小语
浏览器,我公司的web邮箱，Microsoft exchange server提供的页面，使用左中右三页分栏方式，其中……,目前Fennec确实……,刘锋
浏览器,清华wifi连接后，用浏览器访问任意页面均会重定向到登录页面，登录后正常访问，但是openthos……,禅道ID：1204,刘锋
浏览器,"标题栏突然小时，最小化、最大化、关闭看不见了。
图为Fennec浏览器，具体触发原因不明。",使用过程中偶遇过……,苟腾嶕
浏览器,前台物业使用清华大学校园邮箱下载附件图片时 ……,禅道ID：1493,物业
浏览器,设置-易用性-文本大小 默认改为“大”,,刘锋
浏览器,设置最后一项“openthos”应该是Internet 浏览器(Internet Browser),,刘锋
浏览器,页面ctrl+滚轮放缩的缩放步进问题（10%步进？）,,刘锋
浏览器,搜索引擎默认为BING,,刘锋
浏览器,页面误关的恢复功能，下拉列表展示最近10个浏览页面,,K
浏览器,使收藏夹中可以导入html,,K
浏览器,如果我们把user-agent切换的功能放到fennec里，似乎原生菜单上的“request desktop ……,,刘锋
浏览器,internet浏览器ctrl+t创建新分页之后，用户输入焦点应该在地址栏中,,刘锋
浏览器,希望系统提供更多字体支持（内置开源字体，比如文鼎的宋体、楷体、仿宋等，这些字体非商业应用……,,刘锋
蓝牙,华硕和同方双方蓝牙可以匹配，但是互传文件失败。,禅道ID：1205,苟腾嶕
蓝牙,手机通过蓝牙发送文件给同方：如下图，openthos已经接收到信息，但是没有“确定”之类的……,禅道ID：1101,苟腾嶕
应用,相机会出现横屏,,社区
应用,OTA更新到306版本，央视影音应该以桌面模式启动，否则窗口比例不对,禅道ID：1206,刘锋
应用,微信总卡死或无缘无故退出,,社区
应用,高德地图白色背景变为透明，之前firefox进入全屏模式隐藏工具栏时也有类似情况,禅道ID：1211,刘锋
应用,"学堂在线点击课程时，显示“已停止运行”
学堂在线的官网最新版",禅道ID：79,刘锋
应用,物业使用ms excel 崩溃,禅道ID：1448,物业
